PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
588845	1	3897
588867	1	3897
589107	1	3393
589142	1	3897
589609	1	3897
589610	1	3897
589795	1	3897
589814	1	3393
589876	1	705
590707	1	3393
590954	1	3897
591008	1	3897
591403	1	3897
592024	1	967
592056	1	3897
592486	1	3897
592527	1	3897
592738	1	3734
593928	1	3897
594394	1	3393
594493	1	2957
594510	1	2957
594820	1	3897
595272	1	3897
595570	1	3897
596635	1	3731
596995	1	3897
597758	1	3897
598175	1	3897
598633	1	3731
599317	1	3897
599573	1	3897
599637	1	3897
599715	1	7738
600610	1	3897
600721	1	3897
600983	1	3897
601275	1	7741
602767	1	3897
602926	1	2467
603114	1	3897
603324	1	3897
603594	1	3393
603738	1	3897
603755	1	3731
603842	1	3897
604038	1	3897
604350	1	3704
604514	1	3408
604596	1	3897
605283	1	3393
605582	1	705
606126	1	3897
607063	1	8041
607074	1	854
607082	1	3897
607627	1	3731
609181	1	3897
609289	1	3896
609746	1	3897
609956	1	3897
610099	1	3897
610962	1	2957
611070	1	3897
611216	1	3731
611390	1	3897
611672	1	3897
611836	1	7672
612346	1	3897
612456	1	3408
612460	1	3897
612512	1	4166
612583	1	3897
613374	1	3897
613506	1	2467
613699	1	3897
614207	1	3731
614385	1	7749
614407	1	3897
614552	1	3731
614657	1	3939
614739	1	3897
615076	1	3897
615135	1	3897
615208	1	3897
615484	1	3452
615549	1	3897
615806	1	3731
615872	1	3896
616082	1	3896
616303	1	3897
616308	1	3731
616556	1	3897
616832	1	7719
616867	1	7747
617164	1	3731
617203	1	3897
617210	1	3896
617227	1	854
617281	1	3897
617341	1	7741
617877	1	2957
618289	1	3897
618636	1	7744
618706	1	705
618848	1	3897
618993	1	3897
619021	1	3897
619285	1	3897
619837	1	3452
620261	1	3393
620323	1	3897
620910	1	3897
621044	1	3704
621146	1	3393
621265	1	3897
621599	1	7738
622283	1	3897
622700	1	3731
622831	1	3897
623089	1	3897
623176	1	3897
623378	1	3452
623828	1	4188
623917	1	3897
623982	1	854
624785	1	3731
624794	1	3897
625232	1	3897
625239	1	3408
625611	1	3897
625680	1	3897
625890	1	3897
626179	1	3897
626482	1	7738
627327	1	3897
627368	1	7738
628528	1	3897
629629	1	3739
629852	1	3897
630557	1	7738
630991	1	3408
631552	1	3734
632200	1	854
637566	1	3408
637760	1	3897
637858	1	3731
639180	1	2490
641098	1	3897
641115	1	3897
641785	1	3897
641891	1	3897
642387	1	3897
642390	1	3897
643182	1	3897
644405	1	3992
644430	1	7672
644438	1	3897
644441	1	3428
644447	1	3897
644450	1	705
644469	1	3408
644480	1	3897
644503	1	3897
644504	1	3897
644516	1	3897
644522	1	705
644532	1	3731
644534	1	3393
644537	1	2957
644556	1	1569
644559	1	3897
644574	1	3897
644579	1	3897
644590	1	3408
644591	1	3897
644628	1	3393
644675	1	3408
644703	1	3704
644719	1	3704
644722	1	3897
644723	1	854
644729	1	3897
644735	1	2957
644759	1	4188
644765	1	7746
644766	1	3704
644784	1	3897
644803	1	3704
644826	1	7744
644836	1	3897
644882	1	3897
644894	1	705
644919	1	3731
644928	1	3393
644931	1	7672
644952	1	3704
644992	1	3408
645004	1	7672
645027	1	3897
645036	1	3897
645039	1	3897
645071	1	705
645074	1	3393
645078	1	3897
645090	1	3393
645135	1	3452
645145	1	3704
645164	1	3408
645165	1	3897
645180	1	3897
645181	1	3897
645199	1	3897
645210	1	7690
645247	1	3408
645248	1	967
645254	1	3897
645272	1	3408
645310	1	3896
645311	1	3408
645321	1	7746
645368	1	3990
645369	1	3408
645374	1	7741
645377	1	3408
645390	1	2098
645425	1	4348
645431	1	3731
645450	1	3731
645452	1	3897
645485	1	7634
645490	1	3897
645520	1	3897
645523	1	3897
645531	1	2957
645538	1	854
645545	1	705
645553	1	2824
645555	1	3897
645566	1	3408
645570	1	2957
645571	1	3897
645572	1	3452
645579	1	7749
645580	1	967
645633	1	3897
645640	1	3731
645641	1	7715
645671	1	3897
645695	1	3897
645726	1	7672
645733	1	3897
645740	1	3897
645750	1	3731
645752	1	967
645754	1	3452
645757	1	3704
645761	1	3897
645772	1	3408
645782	1	3897
645790	1	3897
645794	1	967
645842	1	3897
645847	1	3897
645870	1	3408
645883	1	3897
645884	1	3897
645892	1	3897
645898	1	3734
645902	1	3408
645930	1	3731
645965	1	3990
645971	1	7672
645980	1	3897
645991	1	3897
646017	1	3704
646027	1	2957
646053	1	854
646061	1	3393
646062	1	3897
646087	1	3897
646092	1	3897
646093	1	3992
646114	1	7634
646125	1	7741
646132	1	7634
646159	1	2957
646164	1	3897
646169	1	3897
646178	1	3897
646181	1	3704
646212	1	3897
646255	1	3897
646264	1	3897
646271	1	7672
646283	1	705
646344	1	3897
646346	1	7520
646371	1	3408
646377	1	705
646387	1	3897
646391	1	3897
646413	1	3897
646447	1	3897
646454	1	7741
646463	1	3393
646464	1	3897
646465	1	3897
646473	1	3408
646482	1	3897
646487	1	3393
646502	1	3897
646512	1	3897
646527	1	3704
646618	1	3731
646626	1	3897
646630	1	2957
646633	1	967
646637	1	7719
646644	1	705
646647	1	3408
646649	1	3731
646656	1	967
646662	1	3393
646668	1	3452
646685	1	3897
646701	1	3897
646703	1	3897
646708	1	3897
646724	1	3896
646727	1	3897
646740	1	3393
646757	1	967
646758	1	3897
646797	1	967
646829	1	3704
646831	1	3897
646836	1	7672
646850	1	3704
646887	1	7749
646903	1	3897
646952	1	3393
646954	1	2957
646957	1	3897
647001	1	7723
647033	1	3897
647063	1	3897
647078	1	2957
647082	1	3897
647085	1	3897
647089	1	7685
647091	1	3452
647131	1	3408
647148	1	854
647183	1	3408
647187	1	3897
647190	1	854
647195	1	3897
647197	1	3393
647209	1	7538
647230	1	705
647240	1	3408
647280	1	3704
647305	1	3897
647320	1	967
647325	1	3393
647326	1	3897
647330	1	3452
647341	1	7744
647358	1	2957
647367	1	7746
647386	1	7587
647391	1	3704
647392	1	3731
647394	1	2467
647427	1	3896
647461	1	3897
647482	1	3897
647491	1	4166
647535	1	3897
647559	1	3897
647563	1	967
647567	1	3897
647581	1	3897
647602	1	3408
647606	1	967
647608	1	3734
647637	1	3393
647658	1	3408
647669	1	3704
647683	1	7634
647689	1	3897
647694	1	3897
647726	1	3897
647736	1	3897
647740	1	7634
647748	1	967
647780	1	3897
647823	1	3408
647835	1	854
647851	1	3897
647857	1	3897
647891	1	3452
647902	1	3408
647925	1	3897
647934	1	3739
647942	1	3897
647949	1	705
647954	1	2467
647974	1	3452
647979	1	3897
648034	1	2467
648049	1	7537
648051	1	705
648054	1	3452
648079	1	3704
648112	1	967
648117	1	4188
648119	1	3897
648121	1	2957
648156	1	3408
648158	1	3452
648164	1	3897
648186	1	3408
648208	1	3452
648218	1	3897
648235	1	7672
648246	1	7738
648248	1	3897
648294	1	3897
648299	1	3897
